Full Date,Time,time_conv,time_index,Week,City,Home Team,Winner,Latitude,Longitude,Starting Game Temp (F),weatherDesc,cloudcover
10/19/08,4:15PM,1600,15,7,Green Bay,Packers,Packers,44.3,-88.01,71,{'value': 'Sunny'},0
10/19/08,4:16PM,1600,15,7,Washington,Redskins,Redskins,38.54,-77.01,61,{'value': 'Sunny'},0
10/19/08,8:23PM,2000,19,7,Tampa Bay,Buccaneers,Buccaneers,,,74,{'value': 'Light rain shower'},62
10/20/08,8:40PM,2000,19,7,New England,Patriots,Patriots,42.21,-71.04,73,{'value': 'Clear'},22
10/26/08,1:02PM,1300,12,8,Baltimore,Ravens,Ravens,39.17,-76.37,84,{'value': 'Sunny'},10
10/26/08,1:02PM,1300,12,8,New England,Patriots,Patriots,42.21,-71.04,84,{'value': 'Sunny'},10
10/26/08,1:02PM,1300,12,8,Philadelphia,Eagles,Eagles,39.57,-75.07,84,{'value': 'Sunny'},10
10/26/08,1:04PM,1300,12,8,Carolina,Panthers,Panthers,35.14,-80.5,54,{'value': 'Thundery outbreaks possible'},53
10/26/08,1:05PM,1300,12,8,New York,Jets,Jets,40.43,-74.01,57,{'value': 'Sunny'},0
10/26/08,1:05PM,1300,12,8,Miami,Dolphins,Dolphins,25.46,-80.12,58,{'value': 'Patchy light drizzle'},50
10/26/08,4:05PM,1600,15,8,Jacksonville,Jaguars,Browns,30.2,-81.4,55,{'value': 'Sunny'},6
10/26/08,4:15PM,1600,15,8,San Francisco,49ers,Seahawks,37.48,-122.24,49,{'value': 'Overcast'},69
10/26/08,4:15PM,1600,15,8,Pittsburgh,Steelers,Giants,40.26,-80,55,{'value': 'Sunny'},6
10/27/08,8:39PM,2000,19,8,Tennessee,Titans,Titans,36.09,-86.48,,,
11/2/08,1:00PM,1300,12,9,St. Louis,Rams,Cardinals,38.38,-90.11,52,{'value': 'Cloudy'},72
11/2/08,1:02PM,1300,12,9,Chicago,Bears,Bears,41.53,-87.38,89,{'value': 'Sunny'},6
11/2/08,1:02PM,1300,12,9,Tennessee,Titans,Titans,36.09,-86.48,,,
11/2/08,1:02PM,1300,12,9,Cleveland,Browns,Ravens,41.3,-81.41,89,{'value': 'Sunny'},6
11/2/08,1:02PM,1300,12,9,Buffalo,Bills,Jets,42.54,-78.53,81,{'value': 'Cloudy'},71
11/2/08,1:02PM,1300,12,9,Cincinnati,Bengals,Bengals,39.06,-84.31,81,{'value': 'Cloudy'},71
