,Year,Week,Day,Date,Time,Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,HomeTeam,AwayTeam
0,1967,1,Sun,September 17,,Pittsburgh Steelers,Chicago Bears,41,13,393,2,95,6,Pittsburgh Steelers,Chicago Bears
1,1967,1,Sun,September 17,,Baltimore Colts,Atlanta Falcons,38,31,508,2,303,5,Baltimore Colts,Atlanta Falcons
2,1967,1,Sun,September 17,,Green Bay Packers,Detroit Lions,17,17,306,5,233,1,Green Bay Packers,Detroit Lions
3,1967,1,Sun,September 17,,Philadelphia Eagles,Washington Redskins,35,24,426,2,388,1,Philadelphia Eagles,Washington Redskins
4,1967,1,Sun,September 17,,San Francisco 49ers,Minnesota Vikings,27,21,360,1,335,3,Minnesota Vikings,San Francisco 49ers
5,1967,1,Sun,September 17,,Los Angeles Rams,New Orleans Saints,27,13,462,1,299,3,New Orleans Saints,Los Angeles Rams
6,1967,1,Sun,September 17,,Dallas Cowboys,Cleveland Browns,21,14,370,4,221,3,Cleveland Browns,Dallas Cowboys
7,1967,1,Sun,September 17,,New York Giants,St. Louis Cardinals,37,20,336,0,358,6,St. Louis Cardinals,New York Giants
9,1967,2,Fri,September 22,,Los Angeles Rams,Minnesota Vikings,39,3,237,2,224,6,Los Angeles Rams,Minnesota Vikings
10,1967,2,Sun,September 24,,Green Bay Packers,Chicago Bears,13,10,365,8,159,1,Green Bay Packers,Chicago Bears
11,1967,2,Sun,September 24,,San Francisco 49ers,Atlanta Falcons,38,7,517,2,97,1,San Francisco 49ers,Atlanta Falcons
12,1967,2,Sun,September 24,,Baltimore Colts,Philadelphia Eagles,38,6,345,0,299,4,Philadelphia Eagles,Baltimore Colts
13,1967,2,Sun,September 24,,Washington Redskins,New Orleans Saints,30,10,369,1,290,0,New Orleans Saints,Washington Redskins
14,1967,2,Sun,September 24,,Dallas Cowboys,New York Giants,38,24,414,1,266,3,Dallas Cowboys,New York Giants
15,1967,2,Sun,September 24,,Detroit Lions,Cleveland Browns,31,14,461,0,269,3,Detroit Lions,Cleveland Browns
16,1967,2,Sun,September 24,,St. Louis Cardinals,Pittsburgh Steelers,28,14,283,1,237,6,Pittsburgh Steelers,St. Louis Cardinals
18,1967,3,Sun,October 1,,Washington Redskins,New York Giants,38,34,405,2,520,3,Washington Redskins,New York Giants
19,1967,3,Sun,October 1,,Los Angeles Rams,Dallas Cowboys,35,13,356,1,272,4,Dallas Cowboys,Los Angeles Rams
20,1967,3,Sun,October 1,,Cleveland Browns,New Orleans Saints,42,7,421,4,266,5,New Orleans Saints,Cleveland Browns
21,1967,3,Sun,October 1,,St. Louis Cardinals,Detroit Lions,38,28,403,1,310,3,St. Louis Cardinals,Detroit Lions
22,1967,3,Sun,October 1,,Chicago Bears,Minnesota Vikings,17,7,221,0,200,2,Minnesota Vikings,Chicago Bears
23,1967,3,Sun,October 1,,Philadelphia Eagles,Pittsburgh Steelers,34,24,319,1,318,3,Philadelphia Eagles,Pittsburgh Steelers
24,1967,3,Sun,October 1,,Green Bay Packers,Atlanta Falcons,23,0,382,2,58,2,Green Bay Packers,Atlanta Falcons
25,1967,3,Sun,October 1,,Baltimore Colts,San Francisco 49ers,41,7,524,0,240,2,Baltimore Colts,San Francisco 49ers
27,1967,4,Sat,October 7,,Cleveland Browns,Pittsburgh Steelers,21,10,361,3,278,4,Cleveland Browns,Pittsburgh Steelers
28,1967,4,Sun,October 8,,New York Giants,New Orleans Saints,27,21,535,1,210,1,New York Giants,New Orleans Saints
29,1967,4,Sun,October 8,,Dallas Cowboys,Washington Redskins,17,14,320,2,253,3,Washington Redskins,Dallas Cowboys
30,1967,4,Sun,October 8,,Green Bay Packers,Detroit Lions,27,17,249,4,122,5,Detroit Lions,Green Bay Packers
31,1967,4,Sun,October 8,,St. Louis Cardinals,Minnesota Vikings,34,24,412,3,337,3,Minnesota Vikings,St. Louis Cardinals
32,1967,4,Sun,October 8,,San Francisco 49ers,Los Angeles Rams,27,24,335,3,253,6,Los Angeles Rams,San Francisco 49ers
33,1967,4,Sun,October 8,,Baltimore Colts,Chicago Bears,24,3,219,4,272,5,Chicago Bears,Baltimore Colts
34,1967,4,Sun,October 8,,Philadelphia Eagles,Atlanta Falcons,38,7,380,0,308,6,Atlanta Falcons,Philadelphia Eagles
36,1967,5,Sun,October 15,,Chicago Bears,Detroit Lions,14,3,265,3,168,3,Chicago Bears,Detroit Lions
37,1967,5,Sun,October 15,,Los Angeles Rams,Baltimore Colts,24,24,410,1,368,2,Baltimore Colts,Los Angeles Rams
38,1967,5,Sun,October 15,,Washington Redskins,Atlanta Falcons,20,20,415,3,323,2,Atlanta Falcons,Washington Redskins
39,1967,5,Sun,October 15,,New York Giants,Pittsburgh Steelers,27,24,381,2,259,2,Pittsburgh Steelers,New York Giants
40,1967,5,Sun,October 15,,Minnesota Vikings,Green Bay Packers,10,7,183,2,268,3,Green Bay Packers,Minnesota Vikings
41,1967,5,Sun,October 15,,Dallas Cowboys,New Orleans Saints,14,10,234,3,207,3,Dallas Cowboys,New Orleans Saints
42,1967,5,Sun,October 15,,Cleveland Browns,St. Louis Cardinals,20,16,223,1,349,5,Cleveland Browns,St. Louis Cardinals
43,1967,5,Sun,October 15,,San Francisco 49ers,Philadelphia Eagles,28,27,386,0,244,0,Philadelphia Eagles,San Francisco 49ers
45,1967,6,Sun,October 22,,San Francisco 49ers,New Orleans Saints,27,13,318,1,200,2,San Francisco 49ers,New Orleans Saints
46,1967,6,Sun,October 22,,Cleveland Browns,Chicago Bears,24,0,347,1,136,2,Cleveland Browns,Chicago Bears
47,1967,6,Sun,October 22,,Minnesota Vikings,Baltimore Colts,20,20,310,0,343,1,Minnesota Vikings,Baltimore Colts
48,1967,6,Sun,October 22,,Detroit Lions,Atlanta Falcons,24,3,250,1,223,1,Detroit Lions,Atlanta Falcons
49,1967,6,Sun,October 22,,Green Bay Packers,New York Giants,48,21,397,0,324,4,New York Giants,Green Bay Packers
50,1967,6,Sun,October 22,,St. Louis Cardinals,Philadelphia Eagles,48,14,416,0,319,2,St. Louis Cardinals,Philadelphia Eagles
51,1967,6,Sun,October 22,,Dallas Cowboys,Pittsburgh Steelers,24,21,378,1,379,2,Pittsburgh Steelers,Dallas Cowboys
52,1967,6,Sun,October 22,,Washington Redskins,Los Angeles Rams,28,28,354,0,438,1,Los Angeles Rams,Washington Redskins
54,1967,7,Sun,October 29,,New York Giants,Cleveland Browns,38,34,386,2,369,4,New York Giants,Cleveland Browns
55,1967,7,Sun,October 29,,Philadelphia Eagles,Dallas Cowboys,21,14,341,6,306,5,Philadelphia Eagles,Dallas Cowboys
56,1967,7,Sun,October 29,,Pittsburgh Steelers,New Orleans Saints,14,10,267,4,308,1,New Orleans Saints,Pittsburgh Steelers
57,1967,7,Sun,October 29,,Los Angeles Rams,Chicago Bears,28,17,309,3,180,4,Chicago Bears,Los Angeles Rams
58,1967,7,Sun,October 29,,Baltimore Colts,Washington Redskins,17,13,351,2,322,3,Washington Redskins,Baltimore Colts
59,1967,7,Sun,October 29,,Atlanta Falcons,Minnesota Vikings,21,20,186,2,314,2,Atlanta Falcons,Minnesota Vikings
60,1967,7,Sun,October 29,,Detroit Lions,San Francisco 49ers,45,3,391,2,173,6,San Francisco 49ers,Detroit Lions
61,1967,7,Mon,October 30,,Green Bay Packers,St. Louis Cardinals,31,23,246,2,405,2,St. Louis Cardinals,Green Bay Packers
63,1967,8,Sun,November 5,,Baltimore Colts,Green Bay Packers,13,10,237,2,265,1,Baltimore Colts,Green Bay Packers
64,1967,8,Sun,November 5,,Dallas Cowboys,Atlanta Falcons,37,7,324,2,223,5,Dallas Cowboys,Atlanta Falcons
65,1967,8,Sun,November 5,,Los Angeles Rams,San Francisco 49ers,17,7,152,0,257,3,San Francisco 49ers,Los Angeles Rams
66,1967,8,Sun,November 5,,Cleveland Browns,Pittsburgh Steelers,34,14,313,1,301,3,Pittsburgh Steelers,Cleveland Browns
67,1967,8,Sun,November 5,,St. Louis Cardinals,Washington Redskins,27,21,414,2,219,3,Washington Redskins,St. Louis Cardinals
68,1967,8,Sun,November 5,,New Orleans Saints,Philadelphia Eagles,31,24,249,2,359,2,New Orleans Saints,Philadelphia Eagles
69,1967,8,Sun,November 5,,Minnesota Vikings,New York Giants,27,24,304,3,403,2,Minnesota Vikings,New York Giants
70,1967,8,Sun,November 5,,Chicago Bears,Detroit Lions,27,13,180,2,174,4,Detroit Lions,Chicago Bears
72,1967,9,Sun,November 12,,Minnesota Vikings,Detroit Lions,10,10,177,1,366,6,Minnesota Vikings,Detroit Lions
73,1967,9,Sun,November 12,,Los Angeles Rams,Philadelphia Eagles,33,17,394,4,257,5,Los Angeles Rams,Philadelphia Eagles
74,1967,9,Sun,November 12,,Chicago Bears,New York Giants,34,7,264,1,161,4,Chicago Bears,New York Giants
75,1967,9,Sun,November 12,,Baltimore Colts,Atlanta Falcons,49,7,595,2,177,3,Atlanta Falcons,Baltimore Colts
76,1967,9,Sun,November 12,,Dallas Cowboys,New Orleans Saints,27,10,380,2,211,3,New Orleans Saints,Dallas Cowboys
77,1967,9,Sun,November 12,,Washington Redskins,San Francisco 49ers,31,28,420,3,294,3,Washington Redskins,San Francisco 49ers
78,1967,9,Sun,November 12,,Green Bay Packers,Cleveland Browns,55,7,456,1,228,7,Green Bay Packers,Cleveland Browns
79,1967,9,Sun,November 12,,Pittsburgh Steelers,St. Louis Cardinals,14,14,274,1,258,3,St. Louis Cardinals,Pittsburgh Steelers
81,1967,10,Sun,November 19,,Green Bay Packers,San Francisco 49ers,13,0,297,1,308,2,Green Bay Packers,San Francisco 49ers
82,1967,10,Sun,November 19,,Philadelphia Eagles,New Orleans Saints,48,21,421,3,309,5,Philadelphia Eagles,New Orleans Saints
83,1967,10,Sun,November 19,,Baltimore Colts,Detroit Lions,41,7,351,1,261,3,Baltimore Colts,Detroit Lions
84,1967,10,Sun,November 19,,Chicago Bears,St. Louis Cardinals,30,3,461,3,230,9,Chicago Bears,St. Louis Cardinals
85,1967,10,Sun,November 19,,New York Giants,Pittsburgh Steelers,28,20,238,4,281,3,New York Giants,Pittsburgh Steelers
86,1967,10,Sun,November 19,,Los Angeles Rams,Atlanta Falcons,31,3,405,2,238,5,Atlanta Falcons,Los Angeles Rams
87,1967,10,Sun,November 19,,Washington Redskins,Dallas Cowboys,27,20,314,2,446,5,Dallas Cowboys,Washington Redskins
88,1967,10,Sun,November 19,,Cleveland Browns,Minnesota Vikings,14,10,235,2,204,3,Cleveland Browns,Minnesota Vikings
90,1967,11,Thu,November 23,,Los Angeles Rams,Detroit Lions,31,7,263,1,108,4,Detroit Lions,Los Angeles Rams
91,1967,11,Thu,November 23,,Dallas Cowboys,St. Louis Cardinals,46,21,436,1,317,4,Dallas Cowboys,St. Louis Cardinals
92,1967,11,Sun,November 26,,Cleveland Browns,Washington Redskins,42,37,424,1,481,1,Cleveland Browns,Washington Redskins
93,1967,11,Sun,November 26,,Minnesota Vikings,Pittsburgh Steelers,41,27,212,5,117,6,Pittsburgh Steelers,Minnesota Vikings
94,1967,11,Sun,November 26,,Baltimore Colts,San Francisco 49ers,26,9,343,2,165,4,San Francisco 49ers,Baltimore Colts
95,1967,11,Sun,November 26,,Green Bay Packers,Chicago Bears,17,13,245,0,249,3,Chicago Bears,Green Bay Packers
96,1967,11,Sun,November 26,,New York Giants,Philadelphia Eagles,44,7,444,0,172,4,New York Giants,Philadelphia Eagles
97,1967,11,Sun,November 26,,New Orleans Saints,Atlanta Falcons,27,24,371,3,269,1,New Orleans Saints,Atlanta Falcons
99,1967,12,Sun,December 3,,Chicago Bears,San Francisco 49ers,28,14,220,2,226,2,San Francisco 49ers,Chicago Bears
100,1967,12,Sun,December 3,,Los Angeles Rams,Atlanta Falcons,20,3,309,3,154,2,Los Angeles Rams,Atlanta Falcons
101,1967,12,Sun,December 3,,St. Louis Cardinals,New Orleans Saints,31,20,310,5,238,3,St. Louis Cardinals,New Orleans Saints
102,1967,12,Sun,December 3,,Green Bay Packers,Minnesota Vikings,30,27,276,3,276,3,Minnesota Vikings,Green Bay Packers
103,1967,12,Sun,December 3,,Cleveland Browns,New York Giants,24,14,215,1,343,2,Cleveland Browns,New York Giants
104,1967,12,Sun,December 3,,Washington Redskins,Philadelphia Eagles,35,35,460,3,365,4,Washington Redskins,Philadelphia Eagles
105,1967,12,Sun,December 3,,Pittsburgh Steelers,Detroit Lions,24,14,330,1,254,3,Detroit Lions,Pittsburgh Steelers
106,1967,12,Sun,December 3,,Baltimore Colts,Dallas Cowboys,23,17,310,4,223,4,Baltimore Colts,Dallas Cowboys
108,1967,13,Sat,December 9,,Los Angeles Rams,Green Bay Packers,27,24,324,3,218,2,Los Angeles Rams,Green Bay Packers
109,1967,13,Sun,December 10,,Dallas Cowboys,Philadelphia Eagles,38,17,325,4,102,5,Dallas Cowboys,Philadelphia Eagles
110,1967,13,Sun,December 10,,Baltimore Colts,New Orleans Saints,30,10,252,1,268,4,Baltimore Colts,New Orleans Saints
111,1967,13,Sun,December 10,,Minnesota Vikings,Chicago Bears,10,10,212,1,298,0,Chicago Bears,Minnesota Vikings
112,1967,13,Sun,December 10,,San Francisco 49ers,Atlanta Falcons,34,28,468,3,297,3,Atlanta Falcons,San Francisco 49ers
